Region	Catchment	Transect	Transect_code	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41
PGM	342	12	342_12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0
PGM	342	2	342_2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0
PGM	342	3	342_3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	4	0	0
PGM	342	4	342_4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0
PGM	342	5	342_5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PGM	342	6	342_6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PGM	342	8	342_8	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
PGM	342	9	342_9	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	5	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	3	0	0	0	0	2	0	0
PGM	358	10	358_10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
PGM	358	11	358_11	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	4	2	0	0	0	0	0	0
PGM	358	2	358_2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0
PGM	358	3	358_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
PGM	358	4	358_4	0	0	0	0	0	0	13	0	0	3	0	0	0	0	1	3	4	1	0	0	0	3	0	0	2	0	0	4	1	0	8	1	0	6	1	0	2	0	0	0	1
PGM	358	5	358_5	0	0	0	0	0	0	17	1	0	2	1	0	0	0	0	2	5	1	0	1	0	6	0	0	2	0	1	5	0	0	5	0	0	1	0	0	1	0	0	0	1
PGM	358	6	358_6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PGM	358	7	358_7	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	1	0	0	0
PGM	358	8	358_8	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0
PGM	358	9	358_9	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
PGM	369	1	369_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
PGM	369	10	369_10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	4	0	0	2	0	0	0	0
