"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"PGM",274,11,"274_11","MA",28.95522388,312.4444444,653.3333333,180,0.0082273
"PGM",274,12,"274_12","MA",8.918784255,207.5555556,771.1111111,189.946,0.37045
"PGM",274,2,"274_2","PFlogbur",42.82147316,252.6666667,711.1111111,187.454,2.35076
"PGM",274,3,"274_3","PFlog",63.93562546,180,793.3333333,189.593,0.968842
"PGM",274,4,"274_4","PFlogbur",37.59060235,196.4444444,771.1111111,183.401,2.56756
"PGM",274,5,"274_5","PFlogbur",88.55572214,258.4444444,704.4444444,180,0
"PGM",274,6,"274_6","PFlogbur",82.59895444,429.2222222,546.6666667,190,0
"PGM",274,7,"274_7","PFlogbur",67.26190476,287.7777778,682.2222222,174.758,3.95162
"PGM",274,8,"274_8","PFlogbur",96.36996519,259.4444444,711.1111111,180,0
"PGM",274,9,"274_9","MA",0.248818114,260.5555556,711.1111111,172.703,3.62644
"PGM",315,1,"315_1","PFlogbur",50.27363184,66,191.1111111,111.443,2.20534
"PGM",315,11,"315_11","PFlogbur",71.50284724,277.1111111,680,181.386,5.31217
"PGM",315,2,"315_2","SFinter",50.43564849,179.2222222,795.5555556,168.15,13.0929
"PGM",315,3,"315_3","PFlogbur",53.28194928,118.1,408,120.262,3.67892
"PGM",315,4,"315_4","PFlogbur",61.14130435,69.66666667,248.8888889,109.767,4.45729
"PGM",315,5,"315_5","PFlogbur",52.89873103,287,677.7777778,191.934,1.04414
"PGM",315,6,"315_6","MA",34.86398802,195.4444444,766.6666667,176.001,2.87276
"PGM",315,7,"315_7","PA",14.64872945,73.22222222,217.7777778,85.5039,2.66033
"PGM",315,8,"315_8","PA",0.024925224,300.7777778,617.7777778,181.668,0.962934
"PGM",315,9,"315_9","MA",31.16429818,278.7777778,688.8888889,165.498,4.24662
"PGM",342,1,"342_1","PFlog",95.51010227,293.1111111,411.1111111,77.9153,5.80172
"PGM",342,10,"342_10","SFinter",86.73267327,258.4444444,708.8888889,50.0652,0.37429
"PGM",342,11,"342_11","SFinter",88.06747705,241.3333333,688.8888889,55.7808,3.97053
"PGM",342,12,"342_12","SFold",73.49726776,211.4444444,531.1111111,98.1078,5.24879
"PGM",342,2,"342_2","PFlog",99.57763975,206,760,109.65,1.02797
"PGM",342,3,"342_3","PFlog",99.62825279,299,672,116.301,3.84536
"PGM",342,4,"342_4","PFlog",99.60199005,225.2,614.6666667,95.9878,4.60927
"PGM",342,5,"342_5","PFlog",99.47903746,224.7333333,696,107.851,2.7342
"PGM",342,6,"342_6","PFlog",94.06968125,261.8888889,553.3333333,67.6509,2.12011
"PGM",342,7,"342_7","PFlog",96.01096983,284.2222222,571.1111111,120,0
"PGM",342,8,"342_8","PFlog",99.74987494,280.7777778,491.1111111,110.328,0.743928
"PGM",342,9,"342_9","PFlogbur",94.94270055,161,375.5555556,86.8101,7.77381
"PGM",358,1,"358_1","MA",39.54760129,278.8888889,671.1111111,173.448,10.7233
"PGM",358,10,"358_10","REF",0.44709389,85.88888889,135.5555556,107.896,2.03263
"PGM",358,2,"358_2","REF",1.793721973,198.4444444,142.2222222,91.1745,1.82371
"PGM",358,3,"358_3","REF",1.391304348,175.4444444,117.7777778,87.2077,1.96268
"PGM",358,4,"358_4","PFlog",96.03272998,269.2222222,682.2222222,201.417,1.12192
"PGM",358,5,"358_5","PFlogbur",93.39481555,259.3333333,708.8888889,209.398,1.1677
"PGM",358,6,"358_6","REF",0.049838026,128.7777778,108.8888889,99.1754,1.33486
"PGM",358,7,"358_7","REF",1.717272275,197.7777778,117.7777778,99.8151,0.683059
"PGM",358,8,"358_8","REF",1.242236025,125.2222222,184.4444444,110.191,1.65757
"PGM",358,9,"358_9","REF",0.174129353,101.8888889,95.55555556,99.7448,0.634611
"PGM",369,1,"369_1","PFlogbur",88.51568288,272.1111111,671.1111111,160,0
"PGM",369,10,"369_10","PFlog",87.48118414,191,484.4444444,108.811,1.5382
"PGM",369,11,"369_11","PA",2.776400595,234,697.7777778,107.831,3.36338
"PGM",369,12,"369_12","PA",1.910669975,208.6666667,482.2222222,82.2423,3.86906
"PGM",369,13,"369_13","PA",19.10307235,264.1111111,653.3333333,98.7857,4.51609
"PGM",369,3,"369_3","PFlog",62.27678571,170.3333333,806.6666667,147.621,4.41388
"PGM",369,4,"369_4","PFlog",75.53455992,153.4444444,624.4444444,117.856,2.61989
"PGM",369,5,"369_5","PFlogbur",65.82939567,171.5555556,795.5555556,159.245,1.05655
"PGM",369,6,"369_6","PFlogbur",87.73373224,222.2222222,753.3333333,151.333,1.15054
"PGM",369,7,"369_7","PFlog",99.52736318,249.1111111,671.1111111,170,0
"PGM",369,8,"369_8","PFlog",90.15904573,271.3333333,704.7777778,168.676,1.78134
"PGM",423,1,"423_1","PFlogbur",36.55753968,112.1111111,235.5555556,112.461,2.77551
"PGM",423,10,"423_10","MA",29.58829365,220.5555556,715.5555556,187.645,2.42815
"PGM",423,11,"423_11","MA",18.69554394,253.8888889,702.2222222,175.084,1.79102
"PGM",423,12,"423_12","MA",44.59057072,199.6666667,771.1111111,189.335,1.14944
"PGM",423,13,"423_13","REF",4.830677291,90.22222222,168.8888889,100,0
"PGM",423,5,"423_5","PFlogbur",23.66834171,189.5555556,482.2222222,144.681,13.1003
"PGM",423,6,"423_6","PFlogbur",47.99498747,125.2222222,202.2222222,126.113,3.97334
"PGM",423,7,"423_7","PFlog",97.9384004,201.2222222,777.7777778,198.457,4.28514
"PGM",423,8,"423_8","REF",10.85116974,119.5,100,100.303,0.555451
